"llhb","43","00860004.tif","10","1","h","4","H.R. 31","1808-01-12","",""
"llhb","43","00870005.tif","10","1","h","5","H.R. 31","1808-01-12","",""
"llhb","43","00880000.tif","10","1","h","","H.R. 32","1808-01-13","Read the first and second time, and committed to a committee of the whole House, to-morrow. A Bill, Further to prolong the continuance of the mint at Philadelphia.","Committee of the Whole House"
"llhb","43","00890000.tif","10","1","h","","H.R. 33","1808-01-13","Read the first and second time, and committed to a committee of the whole House, on Friday next. A Bill, Authorizing the proprietors of squares and lots in the city of Washington to have the same subdivided and admitted to record.","Committee of the Whole House"
"llhb","43","00900002.tif","10","1","h","2","H.R. 33","1808-01-13","",""
"llhb","43","00910003.tif","10","1","h","3","H.R. 33","1808-01-13","",""
"llhb","43","00920004.tif","10","1","h","4","H.R. 33","1808-01-13","",""
"llhb","43","00930000.tif","10","1","h","","H.R. 34","1808-01-14","Read the first and second time, and committed to a committee of the whole house on Monday next. A Bill, For a relief of Alexander Baillie.","Committee of the Whole House"
"llhb","43","00940002.tif","10","1","h","2","H.R. 34","1808-01-14","",""
"llhb","43","00950000.tif","10","1","h","","H.R. 35","1808-01-14","Read the first and second time, and committed to a committee of the whole House, on Wednesday next. A Bill, To incorporate a company for opening the canal in the city of Washington.","Committee of the Whole House"
"llhb","43","00960002.tif","10","1","h","2","H.R. 35","1808-01-14","",""
"llhb","43","00970003.tif","10","1","h","3","H.R. 35","1808-01-14","",""
"llhb","43","00980004.tif","10","1","h","4","H.R. 35","1808-01-14","",""
"llhb","43","00990005.tif","10","1","h","5","H.R. 35","1808-01-14","",""
"llhb","43","01000006.tif","10","1","h","6","H.R. 35","1808-01-14","",""
"llhb","43","01010007.tif","10","1","h","7","H.R. 35","1808-01-14","",""
"llhb","43","01020008.tif","10","1","h","8","H.R. 35","1808-01-14","",""
"llhb","43","01030000.tif","10","1","h","","H.R. 36","1808-01-15","Read the first and second time, and committed to a committee of the whole House, on Tuesday next. A Bill, Extending the right of suffrage in the Indiana territory.","Committee of the Whole House"
"llhb","43","01040000.tif","10","1","h","","H.R. 37","1808-01-15","Read the first and second time, and committed to a committee of the whole house on Monday next. A Bill, Supplementary to an act intituled ''An act for the relief of persons imprisoned for debt.''","Committee of the Whole House"
"llhb","43","01050002.tif","10","1","h","2","H.R. 37","1808-01-15","",""
"llhb","43","01060000.tif","10","1","h","","H.R. 38","1808-01-15","Read the first and second time, and committed to a committee of the whole house on Monday next. A Bill, For the relief of Edward Weld and Samuel Beebee.","Committee of the Whole House"
"llhb","43","01070002.tif","10","1","h","2","H.R. 38","1808-01-15","",""
"llhb","43","01080000.tif","10","1","h","","H.R. 39","1808-01-15","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, For procuring a formidable train of field artillery for the service of the United States.","Committee of the Whole House"
"llhb","43","01090000.tif","10","1","h","","H.R. 40","1808-01-19","Read the first and second time, and committed to a committee of the whole house on Friday next. A Bill, In further addition to an act, entitled ''An act to amend the judicial system of the United States.''","Committee of the Whole House"
"llhb","43","01100002.tif","10","1","h","2","H.R. 40","1808-01-19","",""
"llhb","43","01110000.tif","10","1","h","","H.R. 41","1808-01-19","Read the first and second time, and committed to a committee of the whole House, on Thursday next. A Bill, To erect a light-house on point Judith, in the state of Rhode Island.","Committee of the Whole House"
"llhb","43","01120000.tif","10","1","h","","H.R. 42","1808-01-25","Read the first and second time, and committed to a committee of the whole house on Wednesday next. A Bill, Making appropriations for the support of the navy of the United States, during the year one thousand eight hundred and eight.","Committee of the Whole House"
"llhb","43","01130002.tif","10","1","h","2","H.R. 42","1808-01-25","",""
